customer_id,first_name,last_name,email,phone,signup_date,first_campaign_id,acquisition_channel,total_purchases,total_spent,avg_order_value,last_purchase_date,days_since_last_purchase,customer_segment,loyalty_member,loyalty_points,favorite_product_category,preferred_contact_method,age_range,location,purchase_frequency_days,lifetime_value,churn_risk_score,satisfaction_score,referrals_made,responded_to_campaigns,clicked_campaigns,converted_campaigns,email_open_rate,email_click_rate,sms_response_rate,social_shares,video_completion_rate,app_downloads,store_visits,phone_calls,repeat_purchase_rate,preferred_time,preferred_day,seasonal_preference,weather_preference,device_type,social_media_follower,newsletter_subscriber,push_notifications_enabled
21,Lisa,Ward,lisa.ward117@email.com,555-2070,2024-08-24,16,Email,4,139.52,34.88,2025-04-07,214,Local,True,187,Merchandise,SMS,55-64,Business Dist,19,201.21,0.24,4.4,3,16,9,4,83.6,63.5,81.3,31,88.4,0,24,20,15.3,Brunch,Thursday,Winter,Any,Tablet,True,True,True
22,Sarah,Morgan,sarah.morgan462@email.com,555-8699,2024-12-14,2,Google Ads,7,234.36,33.48,2025-07-28,102,Corporate,False,119,Seasonal Items,Email,55-64,Suburban,48,526.23,0.71,4.2,7,8,6,3,84.5,65.6,68.8,18,74.5,0,33,8,40.6,Afternoon,Wednesday,Fall,Sunny,Mobile,False,False,False
23,Betty,Thompson,betty.thompson911@email.com,555-8078,2024-11-12,20,SMS,12,419.88,34.99,2025-06-22,138,Loyal,True,442,Merchandise,Email,25-34,Business Dist,10,884.58,0.24,4.9,1,16,12,5,40.5,24.5,64.2,49,85.4,0,19,19,38.0,All Day,Saturday,Spring,Rainy,Mobile,True,True,False
24,Jerry,Sanders,jerry.sanders38@email.com,555-8451,2025-07-10,11,SMS,5,161.95,32.39,2025-10-10,28,Health,True,773,Cappuccino,Social,55-64,Business Dist,27,300.32,0.46,4.6,0,20,11,4,35.4,28.1,66.7,44,70.5,0,1,15,16.5,Brunch,Sunday,Summer,Cloudy,Desktop,True,False,True
25,Stephanie,Cox,stephanie.cox970@email.com,555-2924,2023-12-15,5,Multi-Channel,6,119.22,19.87,2025-04-24,197,Corporate,False,241,Cappuccino,SMS,18-24,University,47,233.85,0.62,4.2,7,12,9,5,83.3,61.9,80.3,14,86.0,0,35,6,75.3,Brunch,Wednesday,All,Rainy,Mobile,False,True,False
26,Samantha,Gonzales,samantha.gonzales245@email.com,555-7274,2025-02-11,25,TikTok,20,695.4,34.77,2025-08-21,78,Loyal,True,1190,Pastries,Email,25-34,All Locations,14,1565.26,0.19,4.9,7,6,4,1,78.3,48.8,64.2,38,64.6,0,22,17,36.6,All Day,Wednesday,Summer,Any,Desktop,False,True,False
27,Barbara,Powell,barbara.powell736@email.com,555-8994,2024-04-02,2,Email,10,276.7,27.67,2025-03-24,228,Families,True,489,Latte,Social,18-24,Downtown,17,649.44,0.44,4.5,2,14,9,3,76.9,58.8,78.8,26,83.8,0,16,7,50.8,Evening,Sunday,Summer,Rainy,Desktop,True,True,False
28,Eric,Cox,eric.cox654@email.com,555-5161,2024-06-25,9,Instagram,8,222.24,27.78,2025-07-01,129,Foodies,False,406,Pastries,Social,25-34,Business Dist,20,402.07,0.22,4.7,6,14,10,6,55.4,28.1,86.7,18,76.7,0,48,8,73.3,Brunch,Monday,Fall,Hot,Tablet,False,True,True
29,Patricia,Graham,patricia.graham819@email.com,555-4770,2024-01-26,12,Google Ads,15,254.1,16.94,2025-10-17,21,Families,True,421,Iced Coffee,Push,18-24,All Locations,18,521.65,0.42,4.6,5,13,10,3,44.3,31.9,66.5,22,63.4,0,31,9,62.3,Evening,Saturday,Fall,Sunny,Desktop,False,True,False
30,Charles,Thomas,charles.thomas480@email.com,555-2233,2025-05-17,25,Google Ads,12,209.64,17.47,2025-06-25,135,Eco,True,649,Merchandise,Push,35-44,Downtown,26,365.26,0.23,4.3,7,13,11,4,92.4,55.4,67.6,14,68.4,0,3,17,12.6,Afternoon,Thursday,Summer,Cold,Tablet,False,False,False
31,Ronald,Thomas,ronald.thomas100@email.com,555-4846,2024-04-06,5,TikTok,9,152.82,16.98,2025-04-12,209,Foodies,True,770,Iced Coffee,Email,35-44,Suburban,28,288.4,0.38,4.5,4,6,5,2,89.1,61.8,76.9,40,66.8,1,26,9,54.8,Brunch,Thursday,Fall,Any,Desktop,True,True,False
32,Emily,Garcia,emily.garcia806@email.com,555-6464,2025-02-01,5,Google Ads,5,152.45,30.49,2025-11-05,2,New,True,84,Iced Coffee,SMS,25-34,All Locations,26,342.46,0.48,4.5,4,3,1,0,55.2,43.0,87.6,12,60.5,0,48,7,41.4,Evening,Sunday,Fall,Sunny,Tablet,True,True,False
33,Nancy,Ramirez,nancy.ramirez608@email.com,555-2786,2024-07-03,17,Google Ads,4,127.8,31.95,2025-09-12,56,Local,True,590,Pastries,Push,18-24,Downtown,24,231.51,0.34,4.7,4,11,8,4,40.6,30.1,85.4,39,71.4,0,4,20,55.6,Evening,Friday,Fall,Sunny,Mobile,False,False,False
34,Kathleen,Sanders,kathleen.sanders739@email.com,555-4522,2024-07-25,15,Google Ads,9,191.25,21.25,2025-08-20,79,Eco,True,537,Pastries,Email,18-24,Downtown,29,307.12,0.32,4.5,1,14,11,5,70.2,46.9,94.2,16,72.9,0,47,9,30.1,Morning,Thursday,Summer,Mild,Tablet,False,True,False
35,Joseph,Collins,joseph.collins107@email.com,555-9313,2025-03-05,5,Multi-Channel,7,136.64,19.52,2025-01-23,288,Families,False,393,Merchandise,Email,55-64,University,19,247.99,0.46,4.4,0,13,8,2,43.6,30.4,78.4,43,76.8,0,30,9,35.9,Morning,Tuesday,Winter,Mild,Desktop,True,False,True
36,Laura,Campbell,laura.campbell796@email.com,555-2391,2025-08-16,5,Facebook,4,95.36,23.84,2025-02-17,263,Local,True,721,Espresso,Social,45-54,Downtown,17,155.23,0.28,4.5,3,12,6,2,40.8,31.0,69.9,38,83.0,1,19,6,10.5,Evening,Saturday,All,Hot,Tablet,False,True,True
37,Joshua,Bailey,joshua.bailey180@email.com,555-3116,2024-09-14,18,Google Ads,12,184.44,15.37,2025-05-30,161,App Users,True,546,Merchandise,Push,55-64,Business Dist,26,443.65,0.22,4.6,5,13,7,4,85.8,63.8,63.5,48,78.7,0,26,15,37.7,Brunch,Wednesday,Summer,Hot,Mobile,True,True,True
38,Joseph,Hayes,joseph.hayes348@email.com,555-4630,2024-11-01,25,Facebook,5,147.75,29.55,2025-08-23,76,New,False,89,Cappuccino,Email,25-34,University,40,337.27,0.33,4.3,5,5,2,1,64.6,46.9,66.8,46,73.5,1,37,10,31.2,Afternoon,Tuesday,All,Cloudy,Tablet,False,True,False
39,James,Ross,james.ross58@email.com,555-6766,2024-05-07,3,SMS,11,355.19,32.29,2025-02-20,260,Foodies,True,760,Seasonal Items,Push,55-64,All Locations,16,826.3,0.22,4.6,5,13,9,4,71.2,41.3,68.0,49,73.5,0,36,14,46.7,Morning,Thursday,All,Mild,Mobile,True,False,True
40,Helen,Lewis,helen.lewis373@email.com,555-7108,2024-12-23,13,TikTok,4,82.72,20.68,2025-08-22,77,Health,False,495,Subscription,Email,55-64,Suburban,25,179.38,0.22,4.1,1,5,3,1,82.5,61.4,66.3,42,84.9,0,13,15,76.6,Evening,Wednesday,Spring,Cloudy,Tablet,False,False,False
41,Charles,Hamilton,charles.hamilton498@email.com,555-4145,2025-02-19,5,Facebook,3,65.22,21.74,2025-08-31,68,New,True,169,Merchandise,Push,25-34,Suburban,23,144.76,0.45,4.3,4,17,8,3,83.4,61.4,60.5,43,89.1,1,31,6,35.7,Afternoon,Sunday,All,Any,Mobile,False,True,True
42,Gary,Rivera,gary.rivera473@email.com,555-5616,2024-09-12,17,TikTok,6,194.88,32.48,2025-09-15,53,Students,False,123,Gift Cards,Email,35-44,Downtown,34,383.03,0.45,4.0,6,16,8,5,84.0,64.3,78.7,8,72.4,0,24,11,32.3,Afternoon,Wednesday,Spring,Cold,Mobile,False,True,False
43,Nicole,Alexander,nicole.alexander666@email.com,555-6493,2025-05-12,5,Instagram,8,191.76,23.97,2025-09-27,41,Corporate,False,240,Cold Brew,Social,25-34,Suburban,60,250.5,0.71,4.0,6,6,4,1,78.8,42.0,69.6,7,80.2,1,32,17,11.2,All Day,Saturday,All,Cold,Desktop,False,True,True
44,Anthony,Wood,anthony.wood248@email.com,555-3352,2024-12-14,14,Instagram,9,229.23,25.47,2025-02-10,270,Local,False,187,Gift Cards,Email,45-54,Business Dist,22,397.19,0.37,4.1,5,3,1,0,49.5,34.5,94.1,40,76.7,0,42,8,64.5,Morning,Saturday,Spring,Rainy,Desktop,True,True,False
45,Edward,Gonzales,edward.gonzales491@email.com,555-3986,2025-05-23,3,Multi-Channel,19,404.89,21.31,2025-04-17,204,Loyal,True,485,Gift Cards,Push,35-44,Downtown,10,677.01,0.06,4.6,6,13,7,4,67.2,51.2,79.4,6,78.3,0,32,9,35.7,Afternoon,Wednesday,Winter,Any,Mobile,False,True,False
46,Michelle,Nelson,michelle.nelson821@email.com,555-2353,2024-07-31,3,TikTok,6,126.78,21.13,2025-04-02,219,Local,False,402,Latte,Push,35-44,Business Dist,24,256.49,0.3,4.1,6,11,8,4,93.4,70.8,84.4,40,79.7,0,10,14,12.4,Morning,Saturday,Winter,Cold,Desktop,False,False,True
47,Michelle,Green,michelle.green798@email.com,555-7001,2024-10-03,13,Instagram,6,106.5,17.75,2025-05-30,161,Local,True,687,Iced Coffee,SMS,18-24,Downtown,29,185.35,0.48,4.3,7,6,3,1,57.7,32.7,75.6,41,68.6,1,29,3,59.9,Afternoon,Thursday,All,Hot,Tablet,True,True,True
48,Chris,Simmons,chris.simmons991@email.com,555-6236,2023-11-25,12,Email,12,221.76,18.48,2025-07-15,115,App Users,False,753,Espresso,SMS,25-34,Suburban,24,384.49,0.47,4.6,6,14,9,6,68.1,50.7,64.5,2,62.0,1,5,18,32.2,Brunch,Monday,Winter,Cold,Tablet,False,False,False
49,Kevin,Cooper,kevin.cooper478@email.com,555-9476,2024-10-21,5,Facebook,9,228.24,25.36,2025-08-16,83,Students,False,31,Subscription,SMS,35-44,All Locations,31,380.01,0.72,3.8,2,20,12,6,84.8,54.1,81.5,19,80.8,0,37,17,70.5,Evening,Sunday,Summer,Rainy,Mobile,True,True,False
50,Laura,Thompson,laura.thompson972@email.com,555-5336,2023-12-12,7,TikTok,4,98.64,24.66,2025-04-13,208,Local,False,409,Iced Coffee,Push,18-24,Downtown,30,223.48,0.47,4.4,5,9,5,1,72.1,42.7,64.4,50,69.6,0,7,12,42.7,Afternoon,Thursday,Spring,Hot,Desktop,False,True,False
51,Mary,Cooper,mary.cooper254@email.com,555-3308,2025-07-01,2,SMS,10,294.2,29.42,2025-08-17,82,Eco,True,691,Pastries,Push,45-54,University,22,449.48,0.49,4.6,0,17,15,5,86.7,64.0,90.4,28,60.9,1,24,12,17.5,Brunch,Monday,Summer,Hot,Tablet,False,True,False
52,Matthew,Gonzalez,matthew.gonzalez745@email.com,555-6992,2024-08-22,12,Instagram,4,96.04,24.01,2025-09-07,61,Eco,True,616,Latte,Email,45-54,University,21,188.22,0.31,4.2,7,9,6,2,37.4,19.1,77.2,2,84.1,1,40,11,37.5,Evening,Friday,Winter,Any,Mobile,True,False,True
53,Helen,Diaz,helen.diaz863@email.com,555-5902,2024-02-09,11,Multi-Channel,8,276.8,34.6,2025-10-24,14,Local,False,212,Merchandise,Push,35-44,All Locations,30,553.72,0.44,4.3,3,8,5,2,69.6,39.6,90.5,37,71.4,0,36,4,39.3,All Day,Tuesday,Summer,Cold,Desktop,True,False,True
54,Betty,Foster,betty.foster209@email.com,555-7723,2024-05-13,25,Multi-Channel,14,357.14,25.51,2025-08-10,89,Loyal,True,1379,Pastries,Social,55-64,University,15,598.75,0.09,4.7,7,11,7,2,77.3,39.2,80.1,19,81.1,1,47,9,18.5,Evening,Friday,Spring,Cloudy,Mobile,False,True,False
55,Deborah,Kelly,deborah.kelly389@email.com,555-7464,2024-10-20,25,Facebook,2,56.24,28.12,2025-07-20,110,Corporate,False,226,Cappuccino,Social,55-64,University,48,123.55,0.79,3.9,3,10,5,2,37.7,21.0,76.4,33,68.2,1,31,1,64.0,Afternoon,Monday,All,Mild,Tablet,True,True,False
56,Sarah,Sanders,sarah.sanders952@email.com,555-3587,2024-08-18,21,Multi-Channel,7,185.36,26.48,2025-10-18,20,Foodies,True,767,Latte,Push,25-34,Downtown,24,360.0,0.3,4.5,5,12,10,3,48.7,29.1,75.4,23,63.2,0,9,14,29.1,Brunch,Sunday,Spring,Cloudy,Tablet,False,True,False
57,Stephanie,Parker,stephanie.parker167@email.com,555-8518,2023-12-15,9,Facebook,20,544.4,27.22,2025-04-13,208,Loyal,True,759,Seasonal Items,Social,18-24,Business Dist,11,1124.99,0.16,4.9,4,10,5,2,52.4,39.8,66.5,28,88.6,0,4,9,42.6,Morning,Tuesday,Fall,Hot,Desktop,True,True,False
58,Megan,Cook,megan.cook703@email.com,555-9233,2024-11-24,23,Email,4,72.24,18.06,2025-04-29,192,Corporate,False,244,Seasonal Items,Push,55-64,Suburban,69,158.73,0.57,4.5,1,19,12,6,39.8,31.4,61.8,46,82.9,0,10,2,69.8,Afternoon,Saturday,All,Any,Mobile,True,False,True
59,Sandra,Thomas,sandra.thomas697@email.com,555-4365,2024-02-19,16,Email,11,177.65,16.15,2025-06-02,158,App Users,True,677,Cold Brew,Push,35-44,Downtown,16,329.51,0.34,4.4,1,14,10,5,49.0,28.6,92.9,8,87.6,1,19,11,54.9,Afternoon,Friday,Summer,Sunny,Desktop,False,True,False
60,Gregory,Patterson,gregory.patterson987@email.com,555-7887,2024-09-20,13,Multi-Channel,10,280.7,28.07,2025-08-07,92,Eco,False,236,Gift Cards,Push,55-64,Suburban,17,482.05,0.4,4.5,6,12,8,4,41.1,28.5,76.7,5,70.5,0,18,14,71.3,Afternoon,Sunday,Summer,Any,Mobile,True,True,False
61,Jerry,Thomas,jerry.thomas33@email.com,555-7868,2024-01-18,25,Instagram,9,268.29,29.81,2025-07-10,120,Families,True,225,Gift Cards,SMS,18-24,Suburban,15,478.29,0.28,4.2,2,13,9,5,51.7,32.0,88.6,18,65.4,0,5,20,51.4,All Day,Wednesday,Fall,Any,Tablet,True,True,False
62,Sharon,Hall,sharon.hall642@email.com,555-7999,2024-03-18,16,Instagram,10,186.8,18.68,2025-07-06,124,Health,True,485,Cappuccino,Social,25-34,Business Dist,25,363.42,0.41,4.3,1,19,10,3,73.1,58.1,88.8,13,64.3,1,13,8,36.4,Morning,Friday,Spring,Hot,Tablet,False,True,True
63,Jose,Coleman,jose.coleman41@email.com,555-2192,2025-03-30,25,Google Ads,7,239.68,34.24,2025-03-06,246,Foodies,True,294,Cappuccino,SMS,45-54,Suburban,25,345.33,0.29,4.6,7,20,15,6,56.9,37.6,72.6,20,74.0,0,3,15,25.5,All Day,Wednesday,Winter,Hot,Desktop,False,True,False
64,Ashley,Rodriguez,ashley.rodriguez268@email.com,555-7841,2024-12-10,5,Google Ads,7,237.09,33.87,2025-03-01,251,Health,False,770,Pastries,Push,25-34,University,27,404.26,0.37,4.2,1,20,17,11,57.2,44.7,74.0,47,85.2,0,25,6,14.8,Afternoon,Tuesday,All,Hot,Mobile,True,True,False
65,Justin,Chen,justin.chen224@email.com,555-9285,2024-06-29,12,Instagram,11,168.63,15.33,2025-02-05,275,Local,True,112,Iced Coffee,Email,55-64,Business Dist,30,365.36,0.2,4.4,5,10,5,2,83.9,48.7,62.6,26,79.7,0,15,6,68.0,Afternoon,Monday,Summer,Cold,Mobile,False,True,True
66,Laura,Hughes,laura.hughes879@email.com,555-1519,2025-07-05,13,TikTok,12,300.0,25.0,2025-05-21,170,Eco,True,184,Merchandise,Email,55-64,Downtown,30,546.21,0.22,4.0,5,4,3,1,51.8,34.3,82.0,11,65.4,0,46,2,30.9,Afternoon,Tuesday,All,Hot,Desktop,True,True,True
67,Karen,Green,karen.green581@email.com,555-7375,2023-11-15,18,LinkedIn,6,142.44,23.74,2025-05-16,175,Eco,True,200,Merchandise,Push,35-44,Downtown,17,328.52,0.35,4.7,6,14,10,4,47.6,25.4,61.9,12,62.1,0,46,17,28.8,Evening,Sunday,Spring,Hot,Mobile,True,False,False
68,Margaret,Alexander,margaret.alexander803@email.com,555-3527,2024-09-05,11,LinkedIn,1,17.65,17.65,2025-03-22,230,New,False,26,Gift Cards,Push,18-24,Downtown,20,26.91,0.58,4.3,1,13,10,3,51.0,40.3,65.2,8,82.2,0,11,8,31.1,Morning,Wednesday,All,Sunny,Tablet,True,False,True
69,Ronald,Martin,ronald.martin65@email.com,555-3739,2024-07-20,9,TikTok,5,134.4,26.88,2025-09-13,55,Corporate,False,253,Latte,Social,18-24,Business Dist,34,206.26,0.61,4.5,5,17,10,6,91.2,50.5,79.7,41,64.1,0,33,17,32.3,Evening,Sunday,All,Hot,Desktop,True,True,False
70,Sharon,Foster,sharon.foster649@email.com,555-9044,2024-02-27,8,LinkedIn,8,279.6,34.95,2025-01-29,282,Eco,True,706,Cold Brew,Push,25-34,Business Dist,27,423.85,0.31,4.7,2,18,10,4,73.9,58.3,70.6,50,89.2,1,39,8,38.1,Evening,Sunday,Summer,Any,Desktop,False,True,True
71,Carol,Foster,carol.foster429@email.com,555-9907,2025-09-01,12,Email,2,43.26,21.63,2025-09-13,55,New,False,192,Cold Brew,Email,35-44,Suburban,31,97.57,0.35,4.4,0,10,6,2,81.3,55.0,94.8,34,70.3,0,6,4,75.8,All Day,Saturday,All,Cold,Tablet,False,True,False
72,Ashley,Edwards,ashley.edwards320@email.com,555-6620,2024-06-29,7,Multi-Channel,11,231.11,21.01,2025-09-09,59,Health,True,168,Cold Brew,Social,18-24,Suburban,18,525.13,0.33,4.5,2,13,9,6,71.5,41.4,64.1,14,78.9,1,13,3,40.1,Afternoon,Friday,Fall,Cold,Mobile,False,True,True
73,Sarah,Bryant,sarah.bryant220@email.com,555-4371,2024-12-27,25,Email,5,142.05,28.41,2025-05-30,161,Local,True,368,Merchandise,Push,55-64,Business Dist,20,268.1,0.31,4.1,1,8,6,3,45.3,24.1,86.8,23,62.8,0,29,19,36.1,All Day,Monday,Winter,Rainy,Desktop,True,True,True
74,Ashley,Ramirez,ashley.ramirez398@email.com,555-7852,2024-02-06,5,TikTok,6,156.6,26.1,2025-08-27,72,Eco,False,277,Latte,Social,45-54,All Locations,30,295.59,0.39,4.5,7,7,4,1,78.7,49.6,81.2,35,74.8,0,6,18,65.7,Morning,Sunday,Winter,Sunny,Desktop,False,False,False
75,Kimberly,Perez,kimberly.perez34@email.com,555-5503,2025-02-20,18,SMS,10,252.2,25.22,2025-06-22,138,Students,False,140,Gift Cards,Social,55-64,Downtown,33,501.19,0.66,4.3,1,10,6,4,44.8,32.2,87.7,28,75.9,1,49,11,70.3,Brunch,Friday,Fall,Hot,Mobile,False,True,True
76,Helen,Powell,helen.powell439@email.com,555-3719,2024-01-17,5,Google Ads,6,207.48,34.58,2025-01-17,294,Families,True,265,Iced Coffee,Email,25-34,Business Dist,23,342.58,0.34,4.4,2,10,5,2,49.9,37.6,67.9,33,71.3,0,5,7,71.6,Morning,Wednesday,Fall,Mild,Mobile,False,False,False
77,Chris,Cook,chris.cook528@email.com,555-5558,2024-09-26,15,Multi-Channel,4,128.0,32.0,2025-04-17,204,Health,False,466,Cappuccino,Push,25-34,Business Dist,17,288.62,0.42,4.3,0,7,5,2,57.8,34.3,78.3,32,73.6,0,36,5,40.9,Evening,Wednesday,Winter,Rainy,Tablet,True,True,False
78,Sarah,Murphy,sarah.murphy208@email.com,555-3161,2023-12-13,10,Facebook,2,32.08,16.04,2025-07-10,120,Corporate,False,84,Seasonal Items,Email,18-24,Downtown,53,65.79,0.58,4.1,6,10,7,3,35.5,21.4,75.8,17,64.7,1,18,7,66.4,Afternoon,Thursday,Summer,Cloudy,Tablet,True,True,True
79,Jason,Phillips,jason.phillips377@email.com,555-5902,2025-05-21,13,Facebook,4,95.2,23.8,2025-08-21,78,Students,False,42,Seasonal Items,Push,25-34,Downtown,31,206.29,0.6,4.2,1,15,9,4,94.4,64.4,75.5,10,67.4,0,45,1,69.3,Morning,Tuesday,Summer,Cold,Tablet,True,False,False
80,Linda,Wright,linda.wright531@email.com,555-9348,2025-03-29,24,TikTok,7,174.3,24.9,2025-02-24,256,Corporate,False,122,Merchandise,Email,55-64,Downtown,33,250.17,0.74,4.4,1,16,10,5,80.8,63.5,90.1,16,60.5,1,40,16,65.3,Evening,Wednesday,Fall,Hot,Tablet,True,True,True
