customer_id,first_name,last_name,email,phone,signup_date,first_campaign_id,acquisition_channel,total_purchases,total_spent,avg_order_value,last_purchase_date,days_since_last_purchase,customer_segment,loyalty_member,loyalty_points,favorite_product_category,preferred_contact_method,age_range,location,purchase_frequency_days,lifetime_value,churn_risk_score,satisfaction_score,referrals_made,responded_to_campaigns,clicked_campaigns,converted_campaigns,email_open_rate,email_click_rate,sms_response_rate,social_shares,video_completion_rate,app_downloads,store_visits,phone_calls,repeat_purchase_rate,preferred_time,preferred_day,seasonal_preference,weather_preference,device_type,social_media_follower,newsletter_subscriber,push_notifications_enabled
11,Stephen,Taylor,stephen.taylor392@email.com,555-1634,2024-06-14,8,Google Ads,19,3537.04,186.16,2025-06-17,87,Foodies,True,461,Espresso,Social,35-44,All Locations,17,7884.23,1.78,3.92,1,6,5,2,61.79,6.18,30.73,6,72.37,0,10,6,63.33,Brunch,Saturday,All,Rainy,Mobile,False,True,False
12,Samantha,Baker,samantha.baker46@email.com,555-8144,2025-10-07,17,Google Ads,23,1945.34,84.58,2025-06-06,79,Health,False,382,Gift Cards,Social,45-54,University,14,4717.49,1.69,4.22,4,9,6,4,74.27,22.61,42.48,11,76.47,2,7,4,76.67,Brunch,Saturday,Winter,Cold,Mobile,False,False,True
13,Frank,Campbell,frank.campbell477@email.com,555-8238,2024-07-13,22,Google Ads,11,281.49,25.59,2025-07-09,205,App Users,False,72,Iced Coffee,SMS,25-34,Suburban,24,494.77,1.53,4.5,6,5,3,1,29.6,3.51,45.77,8,80.06,2,14,5,36.67,Morning,Monday,Fall,Hot,Tablet,True,True,True
14,Michelle,Cox,michelle.cox52@email.com,555-5082,2025-06-06,15,Facebook,11,1853.06,168.46,2025-03-23,279,Foodies,False,282,Latte,Push,45-54,University,24,3371.2,3.26,3.0,4,18,13,5,70.08,14.75,5.55,10,89.83,3,12,1,36.67,Afternoon,Sunday,Winter,Any,Tablet,True,True,False
15,Paul,Foster,paul.foster157@email.com,555-4505,2025-08-04,14,TikTok,24,1457.76,60.74,2025-10-27,337,Health,True,276,Merchandise,Push,45-54,Downtown,13,3014.29,3.04,2.92,3,20,15,7,30.46,11.66,35.33,9,36.9,0,12,2,80.0,Evening,Wednesday,Spring,Any,Desktop,False,True,False
16,Steven,Russell,steven.russell170@email.com,555-8657,2025-05-31,20,Instagram,21,4962.51,236.31,2025-07-21,254,Eco,True,532,Pastries,Social,35-44,Business Dist,16,6184.1,3.48,2.76,1,18,9,4,73.75,9.22,7.33,0,22.82,3,5,6,70.0,Evening,Sunday,Spring,Rainy,Mobile,True,True,True
17,Rachel,Howard,rachel.howard686@email.com,555-2874,2024-03-10,7,Multi-Channel,4,957.6,239.4,2025-05-31,304,Corporate,False,266,Espresso,Email,35-44,All Locations,46,1858.49,1.94,4.09,0,10,5,3,62.78,27.36,29.7,17,48.78,0,11,1,13.33,Brunch,Thursday,Fall,Sunny,Tablet,False,False,False
18,Andrew,Torres,andrew.torres109@email.com,555-8102,2024-10-03,21,Multi-Channel,8,1843.36,230.42,2025-03-04,130,Students,False,351,Pastries,Push,55-64,University,36,3108.51,0.74,4.27,6,11,9,3,66.34,6.74,17.94,3,29.11,3,9,5,26.67,Evening,Sunday,Fall,Any,Mobile,False,True,False
19,William,Evans,william.evans287@email.com,555-5526,2024-03-18,1,Google Ads,24,2523.36,105.14,2025-10-29,84,New,False,434,Espresso,Social,25-34,Business Dist,13,4928.74,2.95,2.58,7,20,14,6,11.26,2.24,18.8,4,21.57,1,13,4,80.0,Afternoon,Wednesday,All,Rainy,Desktop,False,True,False
20,Laura,Ford,laura.ford707@email.com,555-4033,2025-03-26,7,Multi-Channel,3,70.68,23.56,2025-06-08,276,Corporate,False,114,Cappuccino,Social,25-34,University,61,104.29,1.09,4.84,7,4,3,1,77.4,30.68,20.88,8,45.23,1,8,9,10.0,Morning,Saturday,All,Cloudy,Desktop,True,True,False
21,Lisa,Ward,lisa.ward117@email.com,555-2070,2024-08-24,16,Email,22,5137.22,233.51,2025-04-07,187,Local,True,552,Merchandise,SMS,55-64,Business Dist,15,16686.78,2.77,2.63,3,16,9,4,60.87,13.79,32.96,16,74.86,4,6,0,73.33,Brunch,Thursday,Winter,Any,Tablet,True,True,True
22,Sarah,Morgan,sarah.morgan462@email.com,555-8699,2024-12-14,2,Google Ads,21,2488.08,118.48,2025-07-28,46,Corporate,False,263,Seasonal Items,Email,55-64,Suburban,17,6382.58,2.45,3.85,7,8,6,3,31.33,4.41,20.03,2,59.63,3,14,9,70.0,Afternoon,Wednesday,Fall,Sunny,Mobile,False,False,False
23,Betty,Thompson,betty.thompson911@email.com,555-8078,2024-11-12,20,SMS,2,484.66,242.33,2025-06-22,183,Loyal,True,167,Merchandise,Email,25-34,Business Dist,91,1338.6,2.5,4.27,1,16,12,5,68.06,16.61,37.97,15,41.89,2,9,3,6.67,All Day,Saturday,Spring,Rainy,Mobile,True,True,False
24,Jerry,Sanders,jerry.sanders38@email.com,555-8451,2025-07-10,11,SMS,24,5799.12,241.63,2025-10-10,268,Health,True,583,Cappuccino,Social,55-64,Business Dist,14,17484.89,1.93,4.68,0,20,11,4,29.71,6.18,23.2,4,65.8,4,4,1,80.0,Brunch,Sunday,Summer,Cloudy,Desktop,True,False,True
25,Stephanie,Cox,stephanie.cox970@email.com,555-2924,2023-12-15,5,Multi-Channel,12,2594.28,216.19,2025-04-24,296,Corporate,False,351,Cappuccino,SMS,18-24,University,28,6087.26,1.6,4.29,7,12,9,5,71.09,31.07,8.08,15,36.24,1,7,3,40.0,Brunch,Wednesday,All,Rainy,Mobile,False,True,False
26,Samantha,Gonzales,samantha.gonzales245@email.com,555-7274,2025-02-11,25,TikTok,6,526.32,87.72,2025-08-21,322,Loyal,True,205,Pastries,Email,25-34,All Locations,46,736.8,2.25,4.5,7,6,4,1,17.88,4.03,40.27,2,21.01,3,14,0,20.0,All Day,Wednesday,Summer,Any,Desktop,False,True,False
27,Barbara,Powell,barbara.powell736@email.com,555-8994,2024-04-02,2,Email,2,217.14,108.57,2025-03-24,100,Families,True,162,Latte,Social,18-24,Downtown,73,528.81,2.72,3.35,2,14,9,3,59.26,24.63,17.86,19,73.5,4,1,1,6.67,Evening,Sunday,Summer,Rainy,Desktop,True,True,False
28,Eric,Cox,eric.cox654@email.com,555-5161,2024-06-25,9,Instagram,28,6041.28,215.76,2025-07-01,78,Foodies,False,764,Pastries,Social,25-34,Business Dist,11,15403.66,1.29,4.54,6,14,10,6,47.85,21.86,24.47,14,63.66,3,6,7,93.33,Brunch,Monday,Fall,Hot,Tablet,False,True,True
29,Patricia,Graham,patricia.graham819@email.com,555-4770,2024-01-26,12,Google Ads,21,1950.69,92.89,2025-10-17,272,Families,True,210,Iced Coffee,Push,18-24,All Locations,17,5685.31,2.99,2.7,5,13,10,3,16.76,4.58,35.84,2,73.36,1,14,5,70.0,Evening,Saturday,Fall,Sunny,Desktop,False,True,False
30,Charles,Thomas,charles.thomas480@email.com,555-2233,2025-05-17,25,Google Ads,1,58.98,58.98,2025-06-25,339,Eco,True,175,Merchandise,Push,35-44,Downtown,73,129.33,1.11,4.74,7,13,11,4,26.93,12.49,19.96,19,22.73,4,3,1,5.0,Afternoon,Thursday,Summer,Cold,Tablet,False,False,False
31,Ronald,Thomas,ronald.thomas100@email.com,555-4846,2024-04-06,5,TikTok,12,1776.72,148.06,2025-04-12,162,Foodies,True,285,Iced Coffee,Email,35-44,Suburban,24,2653.42,1.94,3.87,4,6,5,2,10.87,2.73,7.55,13,78.6,1,8,5,40.0,Brunch,Thursday,Fall,Any,Desktop,True,True,False
32,Emily,Garcia,emily.garcia806@email.com,555-6464,2025-02-01,5,Google Ads,26,6118.32,235.32,2025-11-05,44,New,True,737,Iced Coffee,SMS,25-34,All Locations,14,11335.32,1.55,4.54,4,3,1,0,42.81,20.79,21.83,15,63.37,0,11,9,86.67,Evening,Sunday,Fall,Sunny,Tablet,True,True,False
33,Nancy,Ramirez,nancy.ramirez608@email.com,555-2786,2024-07-03,17,Google Ads,22,3961.98,180.09,2025-09-12,238,Local,True,589,Pastries,Push,18-24,Downtown,14,8062.98,2.45,3.63,4,11,8,4,31.09,4.22,47.5,16,59.44,1,0,8,73.33,Evening,Friday,Fall,Sunny,Mobile,False,False,False
34,Kathleen,Sanders,kathleen.sanders739@email.com,555-4522,2024-07-25,15,Google Ads,29,4382.19,151.11,2025-08-20,134,Eco,True,492,Pastries,Email,18-24,Downtown,11,11768.85,1.89,4.11,1,14,11,5,51.89,19.45,33.88,19,63.72,3,6,6,95.0,Morning,Thursday,Summer,Mild,Tablet,False,True,False
35,Joseph,Collins,joseph.collins107@email.com,555-9313,2025-03-05,5,Multi-Channel,12,508.2,42.35,2025-01-23,192,Families,False,220,Merchandise,Email,55-64,University,24,1277.0,2.4,3.82,0,13,8,2,30.81,9.17,35.22,17,80.51,2,5,8,40.0,Morning,Tuesday,Winter,Mild,Desktop,True,False,True
36,Laura,Campbell,laura.campbell796@email.com,555-2391,2025-08-16,5,Facebook,25,4036.25,161.45,2025-02-17,356,Local,True,437,Espresso,Social,45-54,Downtown,13,8149.28,2.27,4.33,3,12,6,2,30.99,7.9,33.45,17,61.09,1,7,4,83.33,Evening,Saturday,All,Hot,Tablet,False,True,True
37,Joshua,Bailey,joshua.bailey180@email.com,555-3116,2024-09-14,18,Google Ads,17,4211.07,247.71,2025-05-30,278,App Users,True,578,Merchandise,Push,55-64,Business Dist,18,14608.14,3.77,2.7,5,13,7,4,62.02,21.9,13.95,13,60.67,2,4,6,56.67,Brunch,Wednesday,Summer,Hot,Mobile,True,True,True
38,Joseph,Hayes,joseph.hayes348@email.com,555-4630,2024-11-01,25,Facebook,27,1409.94,52.22,2025-08-23,18,New,False,153,Cappuccino,Email,25-34,University,13,3656.37,2.61,2.65,5,5,2,1,13.37,5.1,23.83,17,89.35,0,14,6,90.0,Afternoon,Tuesday,All,Cloudy,Tablet,False,True,False
39,James,Ross,james.ross58@email.com,555-6766,2024-05-07,3,SMS,27,3758.94,139.22,2025-02-20,12,Foodies,True,516,Seasonal Items,Push,55-64,All Locations,12,6561.69,1.6,3.12,5,13,9,4,73.2,7.45,38.79,14,72.97,4,0,2,90.0,Morning,Thursday,All,Mild,Mobile,True,False,True
40,Helen,Lewis,helen.lewis373@email.com,555-7108,2024-12-23,13,TikTok,10,2218.0,221.8,2025-08-22,180,Health,False,239,Subscription,Email,55-64,Suburban,30,3180.83,3.57,2.9,1,5,3,1,69.66,11.62,9.56,14,50.96,4,0,6,33.33,Evening,Wednesday,Spring,Cloudy,Tablet,False,False,False
41,Charles,Hamilton,charles.hamilton498@email.com,555-4145,2025-02-19,5,Facebook,28,5330.64,190.38,2025-08-31,123,New,True,692,Merchandise,Push,25-34,Suburban,13,8270.89,0.64,4.68,4,17,8,3,56.75,21.86,17.5,5,69.52,2,8,0,93.33,Afternoon,Sunday,All,Any,Mobile,False,True,True
42,Gary,Rivera,gary.rivera473@email.com,555-5616,2024-09-12,17,TikTok,28,5048.68,180.31,2025-09-15,246,Students,False,600,Gift Cards,Email,35-44,Downtown,11,8914.47,2.84,3.05,6,16,8,5,51.53,18.89,17.43,14,47.25,4,14,8,93.33,Afternoon,Wednesday,Spring,Cold,Mobile,False,True,False
43,Nicole,Alexander,nicole.alexander666@email.com,555-6493,2025-05-12,5,Instagram,16,2905.12,181.57,2025-09-27,222,Corporate,False,413,Cold Brew,Social,25-34,Suburban,19,4559.78,0.47,4.94,6,6,4,1,72.46,35.25,24.44,17,36.02,1,9,9,53.33,All Day,Saturday,All,Cold,Desktop,False,True,True
44,Anthony,Wood,anthony.wood248@email.com,555-3352,2024-12-14,14,Instagram,15,1540.2,102.68,2025-02-10,51,Local,False,192,Gift Cards,Email,45-54,Business Dist,20,2509.15,1.76,3.34,5,3,1,0,22.97,9.29,49.12,3,61.78,2,5,5,50.0,Morning,Saturday,Spring,Rainy,Desktop,True,True,False
45,Edward,Gonzales,edward.gonzales491@email.com,555-3986,2025-05-23,3,Multi-Channel,15,1312.95,87.53,2025-04-17,71,Loyal,True,176,Gift Cards,Push,35-44,Downtown,19,2436.47,3.31,2.96,6,13,7,4,15.53,7.46,8.04,7,84.97,3,9,4,50.0,Afternoon,Wednesday,Winter,Any,Mobile,False,True,False
46,Michelle,Nelson,michelle.nelson821@email.com,555-2353,2024-07-31,3,TikTok,19,3916.85,206.15,2025-04-02,48,Local,False,420,Latte,Push,35-44,Business Dist,16,6262.1,1.91,4.47,6,11,8,4,26.77,10.2,28.34,14,85.04,1,4,6,63.33,Morning,Saturday,Winter,Cold,Desktop,False,False,True
47,Michelle,Green,michelle.green798@email.com,555-7001,2024-10-03,13,Instagram,12,2475.96,206.33,2025-05-30,19,Local,True,437,Iced Coffee,SMS,18-24,Downtown,28,8077.97,1.56,4.15,7,6,3,1,65.62,14.39,13.07,2,43.93,1,14,4,40.0,Afternoon,Thursday,All,Hot,Tablet,True,True,True
48,Chris,Simmons,chris.simmons991@email.com,555-6236,2023-11-25,12,Email,23,5046.89,219.43,2025-07-15,262,App Users,False,566,Espresso,SMS,25-34,Suburban,15,6987.61,0.95,3.75,6,14,9,6,12.43,1.77,48.68,14,56.94,1,0,9,76.67,Brunch,Monday,Winter,Cold,Tablet,False,False,False
49,Kevin,Cooper,kevin.cooper478@email.com,555-9476,2024-10-21,5,Facebook,20,4601.0,230.05,2025-08-16,84,Students,False,644,Subscription,SMS,35-44,All Locations,16,11071.74,1.84,3.89,2,20,12,6,50.8,20.97,10.1,12,34.81,3,5,4,66.67,Evening,Sunday,Summer,Rainy,Mobile,True,True,False
50,Laura,Thompson,laura.thompson972@email.com,555-5336,2023-12-12,7,TikTok,25,3440.25,137.61,2025-04-13,155,Local,False,359,Iced Coffee,Push,18-24,Downtown,14,7375.6,1.9,4.3,5,9,5,1,79.68,28.5,23.16,8,89.69,0,5,9,83.33,Afternoon,Thursday,Spring,Hot,Desktop,False,True,False
51,Mary,Cooper,mary.cooper254@email.com,555-3308,2025-07-01,2,SMS,3,406.05,135.35,2025-08-17,53,Eco,True,224,Pastries,Push,45-54,University,73,1404.72,2.19,3.07,0,17,15,5,69.9,8.34,38.2,1,88.68,4,2,6,10.0,Brunch,Monday,Summer,Hot,Tablet,False,True,False
52,Matthew,Gonzalez,matthew.gonzalez745@email.com,555-6992,2024-08-22,12,Instagram,5,1018.05,203.61,2025-09-07,107,Eco,True,222,Latte,Email,45-54,University,61,1484.0,1.1,4.99,7,9,6,2,46.5,11.35,36.7,7,65.47,2,12,9,16.67,Evening,Friday,Winter,Any,Mobile,True,False,True
53,Helen,Diaz,helen.diaz863@email.com,555-5902,2024-02-09,11,Multi-Channel,19,3220.31,169.49,2025-10-24,357,Local,False,331,Merchandise,Push,35-44,All Locations,18,6811.17,1.05,4.94,3,8,5,2,14.45,6.98,24.02,19,76.31,0,7,6,63.33,All Day,Tuesday,Summer,Cold,Desktop,True,False,True
54,Betty,Foster,betty.foster209@email.com,555-7723,2024-05-13,25,Multi-Channel,7,1270.15,181.45,2025-08-10,304,Loyal,True,284,Pastries,Social,55-64,University,36,4356.34,2.16,4.13,7,11,7,2,68.2,20.47,20.59,16,70.06,2,13,2,23.33,Evening,Friday,Spring,Cloudy,Mobile,False,True,False
55,Deborah,Kelly,deborah.kelly389@email.com,555-7464,2024-10-20,25,Facebook,21,4263.63,203.03,2025-07-20,135,Corporate,False,578,Cappuccino,Social,55-64,University,16,13603.82,3.06,3.0,3,10,5,2,51.93,14.18,22.89,12,61.52,4,14,2,70.0,Afternoon,Monday,All,Mild,Tablet,True,True,False
56,Sarah,Sanders,sarah.sanders952@email.com,555-3587,2024-08-18,21,Multi-Channel,9,2022.3,224.7,2025-10-18,69,Foodies,True,304,Latte,Push,25-34,Downtown,36,6227.2,1.31,4.2,5,12,10,3,18.05,5.11,16.89,0,23.73,3,0,9,30.0,Brunch,Sunday,Spring,Cloudy,Tablet,False,True,False
57,Stephanie,Parker,stephanie.parker167@email.com,555-8518,2023-12-15,9,Facebook,7,684.18,97.74,2025-04-13,11,Loyal,True,151,Seasonal Items,Social,18-24,Business Dist,41,1226.86,3.92,2.68,4,10,5,2,16.57,3.04,14.24,1,51.83,1,0,2,23.33,Morning,Tuesday,Fall,Hot,Desktop,True,True,False
58,Megan,Cook,megan.cook703@email.com,555-9233,2024-11-24,23,Email,18,1914.84,106.38,2025-04-29,143,Corporate,False,323,Seasonal Items,Push,55-64,Suburban,18,3050.42,3.34,2.58,1,19,12,6,73.67,18.23,26.74,14,67.24,1,5,5,60.0,Afternoon,Saturday,All,Any,Mobile,True,False,True
59,Sandra,Thomas,sandra.thomas697@email.com,555-4365,2024-02-19,16,Email,4,166.48,41.62,2025-06-02,192,App Users,True,81,Cold Brew,Push,35-44,Downtown,61,455.8,2.85,3.14,1,14,10,5,56.84,14.09,17.08,11,67.43,3,9,5,13.33,Afternoon,Friday,Summer,Sunny,Desktop,False,True,False
60,Gregory,Patterson,gregory.patterson987@email.com,555-7887,2024-09-20,13,Multi-Channel,25,3825.0,153.0,2025-08-07,69,Eco,False,558,Gift Cards,Push,55-64,Suburban,13,12766.19,1.87,3.66,6,12,8,4,68.05,8.23,17.94,13,46.12,0,12,2,83.33,Afternoon,Sunday,Summer,Any,Mobile,True,True,False
61,Jerry,Thomas,jerry.thomas33@email.com,555-7868,2024-01-18,25,Instagram,28,791.56,28.27,2025-07-10,23,Families,True,81,Gift Cards,SMS,18-24,Suburban,11,1963.51,1.11,4.67,2,13,9,5,71.53,29.11,34.55,1,85.92,0,0,2,93.33,All Day,Wednesday,Fall,Any,Tablet,True,True,False
62,Sharon,Hall,sharon.hall642@email.com,555-7999,2024-03-18,16,Instagram,14,1779.26,127.09,2025-07-06,181,Health,True,350,Cappuccino,Social,25-34,Business Dist,20,4474.32,1.24,4.32,1,19,10,3,50.02,13.34,48.58,17,31.71,2,5,7,46.67,Morning,Friday,Spring,Hot,Tablet,False,True,True
63,Jose,Coleman,jose.coleman41@email.com,555-2192,2025-03-30,25,Google Ads,18,2606.58,144.81,2025-03-06,293,Foodies,True,402,Cappuccino,SMS,45-54,Suburban,17,4806.41,1.55,4.36,7,20,15,6,46.22,19.82,32.16,6,55.03,3,0,7,60.0,All Day,Wednesday,Winter,Hot,Desktop,False,True,False
64,Ashley,Rodriguez,ashley.rodriguez268@email.com,555-7841,2024-12-10,5,Google Ads,26,2233.4,85.9,2025-03-01,9,Health,False,342,Pastries,Push,25-34,University,13,6632.83,3.3,3.56,1,20,17,11,40.13,17.66,8.46,5,68.36,0,13,6,86.67,Afternoon,Tuesday,All,Hot,Mobile,True,True,False
65,Justin,Chen,justin.chen224@email.com,555-9285,2024-06-29,12,Instagram,9,1403.01,155.89,2025-02-05,271,Local,True,297,Iced Coffee,Email,55-64,Business Dist,36,2287.19,1.95,3.36,5,10,5,2,32.19,5.95,8.4,13,68.8,3,12,9,30.0,Afternoon,Monday,Summer,Cold,Mobile,False,True,True
66,Laura,Hughes,laura.hughes879@email.com,555-1519,2025-07-05,13,TikTok,26,702.52,27.02,2025-05-21,93,Eco,True,137,Merchandise,Email,55-64,Downtown,12,1366.02,1.76,3.43,5,4,3,1,40.42,14.67,47.81,7,65.4,4,5,3,86.67,Afternoon,Tuesday,All,Hot,Desktop,True,True,True
67,Karen,Green,karen.green581@email.com,555-7375,2023-11-15,18,LinkedIn,21,600.39,28.59,2025-05-16,17,Eco,True,205,Merchandise,Push,35-44,Downtown,15,1307.95,1.77,4.97,6,14,10,4,64.17,18.54,18.38,1,39.27,1,2,3,70.0,Evening,Sunday,Spring,Hot,Mobile,True,False,False
68,Margaret,Alexander,margaret.alexander803@email.com,555-3527,2024-09-05,11,LinkedIn,2,418.4,209.2,2025-03-22,154,New,False,231,Gift Cards,Push,18-24,Downtown,122,990.56,3.3,2.6,1,13,10,3,52.13,23.57,9.14,16,30.93,1,13,2,6.67,Morning,Wednesday,All,Sunny,Tablet,True,False,True
69,Ronald,Martin,ronald.martin65@email.com,555-3739,2024-07-20,9,TikTok,20,2056.8,102.84,2025-09-13,328,Corporate,False,242,Latte,Social,18-24,Business Dist,15,3614.91,1.0,4.67,5,17,10,6,72.48,13.5,31.96,4,64.52,1,13,4,66.67,Evening,Sunday,All,Hot,Desktop,True,True,False
70,Sharon,Foster,sharon.foster649@email.com,555-9044,2024-02-27,8,LinkedIn,28,1378.16,49.22,2025-01-29,149,Eco,True,290,Cold Brew,Push,25-34,Business Dist,13,2017.8,2.57,3.95,2,18,10,4,41.04,15.23,33.06,13,61.95,3,14,2,93.33,Evening,Sunday,Summer,Any,Desktop,False,True,True
71,Carol,Foster,carol.foster429@email.com,555-9907,2025-09-01,12,Email,15,2101.8,140.12,2025-09-13,267,New,False,385,Cold Brew,Email,35-44,Suburban,19,5473.98,2.1,3.6,0,10,6,2,52.5,18.01,34.18,19,32.55,3,7,7,50.0,All Day,Saturday,All,Cold,Tablet,False,True,False
72,Ashley,Edwards,ashley.edwards320@email.com,555-6620,2024-06-29,7,Multi-Channel,28,5518.8,197.1,2025-09-09,328,Health,True,744,Cold Brew,Social,18-24,Suburban,12,10286.22,2.6,4.31,2,13,9,6,54.19,11.82,17.03,2,69.36,2,12,6,93.33,Afternoon,Friday,Fall,Cold,Mobile,False,True,True
73,Sarah,Bryant,sarah.bryant220@email.com,555-4371,2024-12-27,25,Email,7,487.48,69.64,2025-05-30,106,Local,True,229,Merchandise,Push,55-64,Business Dist,41,1236.66,2.62,3.72,1,8,6,3,51.42,7.95,5.68,4,51.86,1,14,2,23.33,All Day,Monday,Winter,Rainy,Desktop,True,True,True
74,Ashley,Ramirez,ashley.ramirez398@email.com,555-7852,2024-02-06,5,TikTok,12,1959.12,163.26,2025-08-27,35,Eco,False,268,Latte,Social,45-54,All Locations,26,3046.5,1.08,4.68,7,7,4,1,59.18,21.34,48.43,15,66.74,2,5,8,40.0,Morning,Sunday,Winter,Sunny,Desktop,False,False,False
75,Kimberly,Perez,kimberly.perez34@email.com,555-5503,2025-02-20,18,SMS,29,1149.27,39.63,2025-06-22,119,Students,False,257,Gift Cards,Social,55-64,Downtown,12,2650.93,2.33,4.75,1,10,6,4,26.62,10.53,16.29,17,78.62,1,12,4,95.0,Brunch,Friday,Fall,Hot,Mobile,False,True,True
76,Helen,Powell,helen.powell439@email.com,555-3719,2024-01-17,5,Google Ads,8,255.12,31.89,2025-01-17,14,Families,True,74,Iced Coffee,Email,25-34,Business Dist,33,618.65,2.15,3.55,2,10,5,2,45.87,10.38,35.42,16,31.88,2,10,8,26.67,Morning,Wednesday,Fall,Mild,Mobile,False,False,False
77,Chris,Cook,chris.cook528@email.com,555-5558,2024-09-26,15,Multi-Channel,15,2133.15,142.21,2025-04-17,14,Health,False,333,Cappuccino,Push,25-34,Business Dist,21,2814.04,3.18,3.19,0,7,5,2,17.3,6.19,36.8,10,21.34,2,12,6,50.0,Evening,Wednesday,Winter,Rainy,Tablet,True,True,False
78,Sarah,Murphy,sarah.murphy208@email.com,555-3161,2023-12-13,10,Facebook,3,433.05,144.35,2025-07-10,266,Corporate,False,130,Seasonal Items,Email,18-24,Downtown,52,854.92,2.17,3.98,6,10,7,3,36.92,9.53,32.45,16,74.54,4,0,6,10.0,Afternoon,Thursday,Summer,Cloudy,Tablet,True,True,True
79,Jason,Phillips,jason.phillips377@email.com,555-5902,2025-05-21,13,Facebook,14,2332.54,166.61,2025-08-21,140,Students,False,428,Seasonal Items,Push,25-34,Downtown,23,3520.16,1.87,4.78,1,15,9,4,44.14,17.01,19.08,15,62.68,2,14,5,46.67,Morning,Tuesday,Summer,Cold,Tablet,True,False,False
